id,openingbalance,company,,
58,807495,A.R.INTERNATIONAL,,
54,4640,ACSURE  EXIM PVT LTD ,,
53,336330,ACTION GRAPHICS,,
30,142371,AD BARCODE SOLUTION,,
93,97414,Alpha Lasetek India Ltd.,,
43,767,Ambay Printer,,
83,0,Amritsar Printing Press,,
109,15476,ARTECH INDUSTRIES,,
35,5054,ARYAN TRADERS,,
52,0,Best Barcode System Pvt Ltd ,,
100,0,BOSTIK INDIA PRIVATE LIMITED,,
29,641666,C S BARCODE,,
25,300,CLASSIC STICKERS & PRINTERS PVT LTD,,
88,13838,Cosmo Print Solutions Pvt Ltd.,,
118,0,COSMOS TAPES & LABELS PVT. LTD.                                     ,,
33,2403839,DASH INTERNATIONAL,,
31,492105,DEEPAK SALES CORPO,,
50,0,DEL Labels Industries,,
40,7618740,DESIGN INDIA,,
63,18971,DEV  CREATION ,,
57,0,DHIVYA PRINTERS,,
92,0,DS ENTERPRISES,,duplicate 
18,341227,ESS GEE INDUSTRIES,,
32,1316438,EURO GRAPHICS,,duplicate 
108,0,GAURAV ENTERPRISES,,
26,192688,GOODLUCK ADHESIVE TAPE INDUSTRIES,,
116,0,GTL LABEL & GRAPHIC ,,
121,0,H.C.LAMINATES,,
23,1055493,HIRA HOLOVISION,,
21,314813,holographic Security Marking Systems Pvt.ltd,,duplicate 
2,237493,HORA ART CENTER PVT.LTD,,duplicate 
41,0,HUHTAMAKI PPL LTD ,,
73,215123,INTENSE LABELS SOLUTION PVT LTD,,
27,1738429,JBS TECH-SOLUTIONS PVT.LTD,,duplicate 
7,463553,K.S. HOLO CO,,
105,0,KATYAYANI ENTERPRISES,,
39,82199,KONCEPT LABELS,,
110,0,Krishna prime Labels & Solutions,,
22,0,LABEL GRAFIX,,
9,747051,LABELS ZONE,,
8,1199467,LASERSEC TECHNOLOGIES PVT.LTD,,
51,,MAA GAYATRI OFFSET PRINTERS,,
111,0,MARS PACKAGING PVT LTD UNIT II,,duplicate
46,635696,MATRIX TECHNOLOGIES,,
42,0,MAYANK TRADERS,,
107,148640,MEENA ENTERPRISES,,
60,816,MEENA LABELS,,
76,102023,MEHTA PRINT ARTS PVT LTD,,
104,688412,MITRA TRADING CO,,
99,66316,MODERN STATIONERY,,
82,1524213,Monarch Graphics(India) Private limited,,
19,458488,MULESH PRINTERS HOUSE,,
12,21001,MV PRINTING,,
72,1812,N.C LABEL,,duplicate 
95,0,NARSINGH DASS & CO.P. LTD,,
75,0,Nestor Converters Private Limited,,
77,92866,NESTOR CONVERTERS PVT LTD,,
84,0,NEW GAURAV PRINTERS ,,
86,0,OCULAR HOLOGRAPHY  FILMS PVT. LTD.,,
6,445604,OROTEX CHEMICALS INDIA PVT.LTD,,
112,1427776,PAPER COLLECTION ,,
10,1473057,PAPER POINT,,
64,224367,PARAS LABELS ,,
59,215296,PARMESHTI ENTERPRISES,,
56,0,PATNA PAPER CO.,,
45,0,PATNA PAPER PRODUCT,,
37,119823,PRANAY INSULATIONS AND PACKAGING PVT LTD,,
69,0,PRIME SCAN,,duplicate
1,21679,PRINT GLAMOUR INDIA,,
5,4683,PRIZM HOLOGRAPHY AND SECURITY FLIMS PVT LTD,,
48,357,PROBITY CREATIONS,,dublicate 
119,0,Publicity,,duplicate
91,0,PUJA BARCODE CENTER,,
115,5669,PUJA BARCODE CENTER,,
61,149536,QUALITY  PAPER  MART,,
81,915638,RAJ FINEPACK INDUSTRIES,,
55,0,Rajhans Marketing / RAINBOW ,,
71,0,RAM  LEVEL  INTERNATIONAL,,
20,14328992,RELEASE TECH PAPER CONVERSION PVT LTD,,
47,106438,ROHIT STATIONERY SUPPLIER,,
36,2359,ROYAL LABELS ENTERPRISES ,,
85,522455,Ruchi Enterprises,,
103,0,Rusan Pharma Ltd,,
3,1329181,S L TRADING COMPANY,,
94,195,SAI STICKERS & LABELS,,
74,222309,SAINI  LABEL  INDUSTRIES,,
44,0,SARVODAYA PAPERS  INDUSTRIES,,
87,113500,SATYASHILA PUBLICATION PVT LTD ,,
38,0,SCREEN AIDS,,
80,333716,SDB,,
78,1625,SHIV SAI  ENTERPRISES,,
62,149536,SHIVA PAPRER DISTRIBUTER HUF,,
90,1613992,Shree Balajee Sales,,
117,0,Shree Jayalaxmi Holography Private Limited,,
15,963040,Shree Ram Label Industries,,
17,471281,SHREE RAM LABELS PVT LTD,,
79,0,SHREE SHAKTI INTERNATIONAL,,
106,0,Shri Krishna Paper Industries ,,
89,1884,SHRI LAXMI PRINT N PACK ,,
34,86990,SHRI RAM LABEL (I) PVT LTD,,
49,603216,SHRINATH PAPERS,,
98,8889,Siddhivinayak Packaging Group,,
4,0,SKM ASSOCIATES,,
101,0,SPIRITED LABELS PRIVATE LIMITED,,
11,1231949,SWASH PAPERTECH PRIVATE LIMITED,,
96,13696996,TECHNOVA IMAGING SYSTEMS PVT LTD,,
120,0,THOMSON  PRESS INDIA LTD,,
70,7169449,UFLEX LIMITED ( Noida),,
24,4567755,"UFLEX LIMITED ,(BHOPAL)",,
102,0,UFLEX LIMITED HOLOGRAPHY HYDERABAD,,
113,0,UPTODATE PLASTIC AND PACKAGING PVT LTD  NOIDA  UNIT,,
114,0,UPTODATE PLASTICS AND PACKAGINGS PRIVATE LIMITED D 16 UNIT SITARGANJ,,
97,1150430,VARUN MEDIMPEX INC,,
16,317238,VIJAY LAXMI LABELS PVT.LTD.,,
67,0,VIRAJ PACKING SOLUTION ,,
66,47200,VISHAL HOLO SOLUTION PVT. LTD ,,
14,0,WESTWOODS PAPER INDUSTRIES,,
